LPA,1319.720903782463,1319.720903782463,54.630716581182504,18.576961530227567,4.483616380065152,1,1,1,1,1
Louvain,346.6529435640885,192.88931433016396,1419.6830022941472,174.31037490675186,113.82623093728193,59.7246607684431,27.323268232802757,9.64797299765227,3.339196872527459,1.1043037456568696
TILES,114375.45985297304,114375.45985297304,114375.45985297304,114375.45985297304,114375.45985297304,114375.45985297304,114375.45985297304,114375.45985297304,123836.72466942144,36174.48
BFS,413.3960314029161,749.1162954485493,412.9977092730849,749.1162954485493,266.76523765544306,203.03151932717694,67.76765061321547,22.912552053044376,7.557525805937009,2.550749907344351
Poison,136.20049037711814,136.20049037711814,136.20049037711814,136.20049037711814,136.20049037711814,136.20049037711814,46.66849518812057,18.38887257346237,6.838574559995376,2.327666311949674
Haircut,235.1329901589502,333.72873391564656,244.97299172379107,314.36514044473927,245.15981316320494,53.79512892926407,10.728256684120405,5.533967284852985,2.924426478409442,1
TPP,693.4127802241187,693.4127802241187,693.4127802241187,693.4127802241187,52.36628369276311,39.05812374170573,11.06618314767179,2.664087410790606,1,1
APPR,140.92095846604647,162.0891389535549,140.91066344061474,76.43234066343521,62.43938920211488,26.76445238766898,40.40026891990128,11.716952145952302,4.294794396956169,1.4637222970161465
TRacer,33.64054541047878,25.586374091009617,11.705562870700918,8.760176144946334,1,1,1,1,1,1
LazyFwd,81280.78433707531,81280.78433707531,81280.78433707531,81280.78433707531,81280.78433707531,81280.78433707531,81280.78433707531,81280.78433707531,272181.21517541027,233067.28
Ours,5825.491612964705,5825.491612964705,5825.491612964705,5825.491612964705,5825.491612964705,6695.511478440556,8606.74089105171,13412.897836136626,28073.83430397568,23302.05